0,1
WNT5A,FCRL4
FGF10,FCRL4
ICAM1,ADRB2
ICAM1,CD44
ICAM1,LRP2
ICAM1,ITGB1
ICAM1,LRP1
ICAM1,LDLR
ICAM1,VLDLR
ICAM1,SORL1
ICAM1,MUC6
ICAM1,RYR1
ICAM1,PTPRS
ICAM1,ADGRV1
ICAM1,FCRL4
F13A1,ITGB2
F13A1,ITGB5
F13A1,CD44
F13A1,ITGAM
F13A1,ITGB3
F13A1,ITGAV
F13A1,ITGA5
F13A1,SDC3
F13A1,FCRL4
VCAN,ITGB2
VCAN,ADRB2
VCAN,ITGB5
VCAN,SDC2
VCAN,ITGAM
VCAN,LRP6
VCAN,ITGB6
VCAN,ITGB8
VCAN,SDC1
VCAN,PLAUR
VCAN,C5AR1
VCAN,TNFRSF11B
VCAN,SDC4
VCAN,CALCR
VCAN,TLR4
VCAN,SDC3
VCAN,AGER
VCAN,GPIHBP1
VCAN,LEPR
VCAN,CD79A
VCAN,FCRL4
VCAN,IL17RC
VCAN,ASGR2
TNC,ERBB4
TNC,ITGB2
TNC,ITGB5
TNC,ITGA4
TNC,CD44
TNC,ITGB7
TNC,ITGAM
TNC,ITGB8
TNC,CD36
TNC,ITGA6
TNC,ITGA1
TNC,CD93
TNC,FLT4
TNC,ITGA2B
TNC,TLR4
TNC,ABCA1
TNC,SDC3
TNC,ITGAX
TNC,CD151
TNC,MAG
TNC,ITGA3
TNC,GPC1
TNC,FCRL4
EGF,CD44
EGF,ITGB1
EGF,LRP1
EGF,VLDLR
EGF,SORL1
EGF,FCRL4
WNT2,FCRL4
ADAM2,ITGB2
ADAM2,ITGB5
ADAM2,CD44
ADAM2,ITGB3
ADAM2,ITGAV
ADAM2,ITGA5
ADAM2,FCRL4
ADAM28,ITGB1
SLIT1,LRP2
SLIT1,ITGB1
SLIT1,ABCA1
TIMP3,FCRL4
LUM,ITGB2
LUM,FCRL4
FGF7,FCRL4
PTH2,IFNAR2
PTH2,IFNAR1
PROK1,IFNAR2
PROK1,IFNAR1
CALM2,FCRL4
UCN2,IFNAR2
UCN2,IFNAR1
MEGF10,LRP2
MEGF10,ITGB1
MEGF10,TPO
MEGF10,ITGA1
MEGF10,CD46
MEGF10,ADGRL1
MEGF10,ITGB4
FGF18,FCRL4
CRH,IFNAR2
CRH,IFNAR1
SERPING1,FCRL4
GPHA2,FCRL4
TNFSF4,IFNAR2
PTH,IFNAR2
PTH,IFNAR1
PTH,FCRL4
SEMA3D,ABCA1
WNT3A,ALK
WNT3A,LRP2
WNT3A,ITGB1
WNT3A,IGF2R
WNT3A,LDLR
WNT3A,VLDLR
WNT3A,ABCA1
WNT3A,ITGAX
WNT3A,IFITM1
WNT3A,CD81
WNT3A,TREM2
WNT3A,SORL1
WNT3A,SCARB1
WNT3A,PTPRK
WNT3A,INSR
WNT3A,RPSA
WNT3A,TNFRSF21
WNT3A,AR
WNT3A,PTPRZ1
WNT3A,TFR2
WNT3A,CFTR
WNT3A,PTGER2
WNT3A,APLP2
WNT3A,FCRL4
WNT3A,ASGR2
APP,LRP2
APP,ITGB1
APP,IGF2R
APP,LDLR
APP,ABCA1
APP,IFITM1
APP,AR
APP,TRPM3
APP,PTPRZ1
APP,CFTR
APP,FCRL4
APP,ASGR2
CXCL13,IFNAR2
CXCL13,IFNAR1
WNT4,ALK
WNT4,LRP6
WNT4,LRP5
WNT4,LDLR
WNT4,ITGAX
WNT4,TREM2
WNT4,RPSA
WNT4,TFR2
WNT4,APLP2
WNT4,FCRL4
AGRP,IFNAR2
AGRP,IFNAR1
CALM3,SORT1
CALM3,ALK
CALM3,ITGA4
CALM3,CD44
CALM3,LRP2
CALM3,ITGB1
CALM3,IGF2R
CALM3,LRP1
CALM3,FZD2
CALM3,FZD6
CALM3,LRP6
CALM3,LRP5
CALM3,CAV1
CALM3,RYK
CALM3,FZD1
CALM3,FZD7
CALM3,TNFRSF11B
CALM3,LDLR
CALM3,TLR2
CALM3,SDC4
CALM3,VLDLR
CALM3,TLR4
CALM3,ABCA1
CALM3,IFNAR1
CALM3,ITGAX
CALM3,IFITM1
CALM3,CD81
CALM3,CHRNA4
CALM3,TREM2
CALM3,SORL1
CALM3,SCARB1
CALM3,PTK7
CALM3,ROR1
CALM3,VANGL2
CALM3,PTPRK
CALM3,FZD3
CALM3,ANTXR1
CALM3,TLR1
CALM3,APCDD1
CALM3,PLD1
CALM3,RPSA
CALM3,TNFRSF21
CALM3,TRPM3
CALM3,GPC5
CALM3,GAS1
CALM3,LEPR
CALM3,PTPRZ1
CALM3,TFR2
CALM3,CFTR
CALM3,CD74
CALM3,APLP1
CALM3,PTGER2
CALM3,PDGFRA
CALM3,APLP2
CALM3,MCAM
CALM3,ENPEP
CALM3,FCRL4
CALM3,GPC2
CALM3,GPR37
CALM3,ASGR2
CALM3,GPR37L1
TFF2,FCRL4
TFF1,ITGB2
TFF1,ITGB1
TFF1,ITGAM
TFF1,SDC1
TFF1,VLDLR
TFF1,CD81
TFF1,LMBR1L
TFF1,MUC6
TFF1,LPAR1
TFF1,LPAR4
TFF1,LPAR2
TFF1,LPAR3
TFF1,C1QBP
TFF1,XCR1
S100A1,ITGB2
S100A1,LRP2
S100A1,ITGB1
S100A1,LRP1
S100A1,ITGAM
S100A1,VLDLR
S100A1,OLR1
S100A1,LSR
S100A1,LRP8
S100A1,ABCA1
S100A1,SORL1
S100A1,ASGR2
SCGB3A1,LRP2
SCGB3A1,FCRL4
SHANK1,PLXNA1
SHANK1,NOTCH1
SHANK1,NOTCH4
SHANK1,NOTCH2
SHANK1,NOTCH3
SHANK1,ITGB5
SHANK1,LRP2
SHANK1,ITGB1
SHANK1,COL13A1
SHANK1,IGF2R
SHANK1,LRP1
SHANK1,TPO
SHANK1,ITGAM
SHANK1,ITGAV
SHANK1,ITGB8
SHANK1,SDC1
SHANK1,ITGA7
SHANK1,ITGA6
SHANK1,ITGA1
SHANK1,ITGA2
SHANK1,ITGA5
SHANK1,CD93
SHANK1,FLT4
SHANK1,DDR2
SHANK1,ITGA11
SHANK1,TMPRSS6
SHANK1,DDR1
SHANK1,CD47
SHANK1,ITGA2B
SHANK1,LDLR
SHANK1,VLDLR
SHANK1,LRP8
SHANK1,CD46
SHANK1,ITGAX
SHANK1,LRP4
SHANK1,BCAM
SHANK1,STAB2
SHANK1,COL17A1
SHANK1,GPC4
SHANK1,PTPRB
SHANK1,RYR1
SHANK1,MAG
SHANK1,PTPRS
SHANK1,PLXNB3
SHANK1,ATP1A3
SHANK1,CFTR
SHANK1,ITGA3
SHANK1,ITGB4
SHANK1,TNFRSF10A
SHANK1,NT5E
SHANK1,CELSR2
SHANK1,ROBO4
SHANK1,CSPG4
SHANK1,PLXNB1
SHANK1,ITGA10
WNT1,FCRL4
FGF11,FCRL4
FGF19,FCRL4
VCAM1,FGFR1
VCAM1,ADRB2
VCAM1,ITGB5
VCAM1,CD44
VCAM1,LRP2
VCAM1,SDC2
VCAM1,ITGAM
VCAM1,ITGB3
VCAM1,SDC1
VCAM1,PLAUR
VCAM1,TLR2
VCAM1,TLR4
VCAM1,SDC3
VCAM1,FCRL4
VCAM1,IL17RC
ARPC5,ITGB2
ARPC5,ITGB1
ARPC5,LRP1
ARPC5,ITGAM
ARPC5,SDC1
ARPC5,VLDLR
ARPC5,LRP8
ARPC5,FCRL4
COL6A3,DDR2
COL6A3,ITGA11
COL6A3,TMPRSS6
COL6A3,DDR1
COL6A3,ABCA1
COL6A3,COL17A1
COL6A3,MAG
PROK2,IFNAR2
PROK2,IFNAR1
CXCL5,IFNAR2
PPBP,IFNAR2
PF4,ADRB2
PF4,LRP2
PF4,ITGB1
PF4,VLDLR
PF4,TLR4
PF4,SORL1
PF4,AR
PF4,PTPRZ1
PF4,FCRL4
LIPH,ITGB2
LIPH,ADRB2
LIPH,CNR1
LIPH,ITGB1
LIPH,ITGAM
LIPH,SDC1
LIPH,LMBR1L
LIPH,LPAR3
LIPH,C1QBP
LIPH,FCRL4
CAMP,FCRL4
SPINK1,TLR2
SPINK1,FCRL4
CSF2,FGFR1
CSF2,FCRL4
SHH,NOTCH1
SHH,NOTCH2
SHH,ITGB1
SHH,IGF2R
SHH,LRP1
SHH,ASGR1
SHH,ITGAM
SHH,SDC1
SHH,LDLR
SHH,VLDLR
SHH,ABCA1
SHH,CD19
SHH,ITGAX
SHH,IFITM1
SHH,CD81
SHH,TREM2
SHH,SORL1
SHH,SCARB1
SHH,LRP4
SHH,SCARA5
SHH,ROR1
SHH,TNFRSF21
SHH,AR
SHH,RYR1
SHH,PTPRZ1
SHH,PTPRS
SHH,SCARF1
SHH,APLP2
SHH,CELSR2
SHH,FCRL4
SHH,GPR37
SHH,ASGR2
COL1A2,MET
COL1A2,ERBB4
COL1A2,ITGB2
COL1A2,ITGB5
COL1A2,ITGAM
COL1A2,ITGB8
COL1A2,SDC1
COL1A2,ITGA5
COL1A2,ABCA1
COL1A2,SDC3
COL1A2,ITGAX
COL1A2,CD151
COL1A2,COL17A1
COL1A2,GPC4
COL1A2,MAG
COL1A2,ITGA3
COL1A2,TNFRSF10A
COL1A2,FCRL4
DEFB1,IFNAR2
DEFB1,IFNAR1
COL14A1,ITGB1
VEGFD,MET
VEGFD,ERBB4
VEGFD,ITGB2
VEGFD,FGFR1
VEGFD,ITGB5
VEGFD,CD44
VEGFD,ITGB3
VEGFD,ITGAV
VEGFD,ITGB8
VEGFD,CD36
VEGFD,ABCA1
VEGFD,SDC3
VEGFD,CD151
VEGFD,FCRL4
JAM3,ITGAM
JAM3,FCRL4
HSP90B1,EGFR
HSP90B1,ERBB4
HSP90B1,ITGB2
HSP90B1,FGFR1
HSP90B1,ITGB5
HSP90B1,ITGA4
HSP90B1,CD44
HSP90B1,ITGB7
HSP90B1,LRP2
HSP90B1,ITGB1
HSP90B1,IGF2R
HSP90B1,SDC2
HSP90B1,ITGAM
HSP90B1,LRP6
HSP90B1,ITGB3
HSP90B1,ITGB6
HSP90B1,ITGAV
HSP90B1,ITGB8
HSP90B1,CD36
HSP90B1,SDC1
HSP90B1,ST14
HSP90B1,PLAUR
HSP90B1,C5AR1
HSP90B1,ITGA5
HSP90B1,FLT4
HSP90B1,ITGA8
HSP90B1,ITGA2B
HSP90B1,TNFRSF11B
HSP90B1,LDLR
HSP90B1,SELP
HSP90B1,SDC4
HSP90B1,VLDLR
HSP90B1,LRP8
HSP90B1,ABCA1
HSP90B1,SDC3
HSP90B1,ITGAX
HSP90B1,SORL1
HSP90B1,RYR1
HSP90B1,MUSK
HSP90B1,PTPRZ1
HSP90B1,CFTR
HSP90B1,GPC1
HSP90B1,FCRL4
HSP90B1,IL17RC
HSP90B1,ASGR2
COL6A2,MAG
CCL11,IFNAR2
CCL11,IFNAR1
CCL11,CRHR1
PCSK9,ITGB2
PCSK9,CD44
PCSK9,LRP2
PCSK9,ITGB1
PCSK9,ITGAM
PCSK9,SDC1
PCSK9,LSR
PCSK9,TLR4
PCSK9,LRP8
PCSK9,ABCA1
PCSK9,RYR2
PCSK9,SORL1
PCSK9,RYR1
SEMA3E,ABCA1
CD14,EGFR
CD14,ERBB4
CD14,SORT1
CD14,FGFR1
CD14,ADRB2
CD14,ITGB5
CD14,CD44
CD14,ITGB7
CD14,LRP2
CD14,SDC2
CD14,ITGAM
CD14,LRP6
CD14,ITGB3
CD14,ITGB6
CD14,ITGAV
CD14,CAV1
CD14,ITGB8
CD14,CD36
CD14,SDC1
CD14,ST14
CD14,PLAUR
CD14,C5AR1
CD14,ITGA5
CD14,ITGA8
CD14,ITGA2B
CD14,TNFRSF11B
CD14,LDLR
CD14,TLR2
CD14,SELP
CD14,SDC4
CD14,TFRC
